Term,Freq,Total,Category,logprob,loglift,relevance,Topic
treaty,5465.526495178665,30898.575520568833,Topic12,-4.703,1.3066,-2.90012,13
degrade,2549.7367045030132,2654.287780117522,Topic12,-5.4655,2.9986,-2.9262699999999993,13
information,24149.80712920387,42737.08509056314,Topic13,-3.1538,2.5314,-1.4482399999999997,8
space,11904.669276578523,12134.873009250972,Topic13,-3.8611,3.0831,-1.7778399999999994,8
outer,7793.003546293965,7793.970273078065,Topic13,-4.2848,3.1021,-2.0687299999999995,8
department,7891.014337574134,8406.088093730925,Topic13,-4.2723,3.039,-2.07891,8
public,8161.905267267214,18873.733647975117,Topic13,-4.2386,2.2639,-2.2878499999999997,8
use,8788.34801689421,36700.48016956386,Topic13,-4.1646,1.6729,-2.4133499999999994,8
scientific,5749.07621762654,11897.5804952909,Topic13,-4.589,2.3749,-2.4998299999999998,8
activity,8005.478714609794,39697.66321730452,Topic13,-4.2579,1.5011,-2.5302,8
secretariat,5838.761167866234,14000.694324724263,Topic13,-4.5736,2.2276,-2.53324,8
language,4282.605209615485,5735.1765427967985,Topic13,-4.8835,2.8102,-2.5753899999999996,8
technology,5305.059109669514,11814.42035163201,Topic13,-4.6694,2.3016,-2.5781,8
peaceful,4890.848649618889,10943.415317335885,Topic13,-4.7507,2.2968,-2.6364499999999995,8
centre,4975.982652892336,11792.835272979695,Topic13,-4.7334,2.2393,-2.6415899999999994,8
service,5933.774171668058,25705.758918398322,Topic13,-4.5574,1.6362,-2.69932,8
communication,3910.755488671219,7406.674118213556,Topic13,-4.9743,2.4636,-2.7429300000000003,8
work,7154.48429674102,57065.97669228925,Topic13,-4.3703,1.0257,-2.7515,8
exploration,2324.6935709253758,2325.660300133653,Topic13,-5.4945,3.1018,-2.91561,8
official,4825.8251113429715,27752.278226765968,Topic13,-4.7641,1.3529,-2.929,8
science,2469.460100107047,3888.563784884076,Topic13,-5.4341,2.6482,-3.00941,8
system,4965.308105950549,45348.42224659341,Topic13,-4.7356,0.8903,-3.04783,8
republic,10093.70663303233,13058.990675517434,Topic14,-3.686,3.1848,-1.6247599999999993,4
board,7675.456652787859,11339.178179389046,Topic14,-3.9599,3.0521,-1.8562999999999996,4
eee,6419.845429173157,6420.808673382703,Topic14,-4.1385,3.4422,-1.8642899999999993,4
membership,5733.602830499204,7421.101953849777,Topic14,-4.2516,3.1844,-2.0207999999999995,4
year,7738.827065421445,26025.650505533857,Topic14,-3.9517,2.2295,-2.09734,4
pension,4175.223315724873,4176.186559167855,Topic14,-4.5687,3.4421,-2.1654599999999995,4
administrative,6370.640899829449,17773.638975072285,Topic14,-4.1462,2.4164,-2.17742,4
advisory,5980.853022130428,18308.97240854413,Topic14,-4.2093,2.3236,-2.2494299999999994,4
korea,3698.05291212315,3699.016158575177,Topic14,-4.6901,3.4421,-2.2504399999999998,4
auditor,3665.3782461165047,4024.182297501067,Topic14,-4.699,3.349,-2.2845999999999997,4
joint,4281.907241920828,8029.9843593284895,Topic14,-4.5435,2.8136,-2.3363699999999996,4
question,6081.049782144564,32632.127509963204,Topic14,-4.1927,1.7623,-2.4062,4
appointment,3233.2576909857153,4110.286638754404,Topic14,-4.8244,3.2024,-2.4163599999999996,4
fund,6126.426575992364,35018.97430177389,Topic14,-4.1853,1.6991,-2.4199799999999994,4
budgetary,4277.640829715134,11637.404711474184,Topic14,-4.5445,2.4416,-2.44867,4
appoint,3040.298241438892,4685.3741237232625,Topic14,-4.886,3.0099,-2.5172299999999996,4
follow,3993.995093728613,13380.148440599838,Topic14,-4.6131,2.2334,-2.55915,4
term,3666.9739795155233,10292.09034511561,Topic14,-4.6985,2.4104,-2.5658299999999996,4
november,4951.521743669714,28599.44279490025,Topic14,-4.3982,1.6887,-2.5721299999999996,4
ee,2162.840964217255,2163.8042099222916,Topic14,-5.2265,3.4419,-2.6259799999999993,4
