Resolution,0,1,2,3,4,5,6,7,8,9,10,11,12,13
A/RES/3263(XXIX),0.0003378502,0.00021141616,0.7974916,0.00022298557,0.010525511,0.00013567395,0.072862186,0.012476401,0.010871665,0.00020490246,0.07491913,0.019152012,0.00036768644,0.00022100993
A/RES/55/134,0.00047069293,0.00029485923,0.00028715987,0.0003109983,0.000386358,0.0001892239,0.00087891304,0.9856272,0.00039333562,0.00028577325,0.00030762044,0.0011849423,0.0005120626,0.008870881
A/RES/46/54,0.00017060617,0.00010691737,0.000104125545,0.00011276891,0.00014008708,6.8613524e-05,0.41243306,0.00012536912,0.024057828,0.030663239,0.00011154413,0.33839986,0.00018580706,0.19332014
A/RES/66/188,0.025862785,0.00014559127,0.00014178942,0.00015355939,0.009395703,9.343211e-05,0.00043786125,0.00017071872,0.024244523,0.0001411049,0.00015189277,0.06277009,0.87613875,0.00015219889
A/RES/3242(XXIX),0.00019468287,0.00012203894,0.00011885012,0.012185986,0.049936347,7.8316145e-05,0.08360956,0.115142055,0.020414082,0.021430349,0.014246939,0.54019123,0.14220202,0.00012757503
A/RES/56/24[M],1.9555997e-05,1.2255558e-05,0.88651204,1.29263035e-05,1.6058484e-05,7.864892e-06,3.6795678e-05,1.4371303e-05,1.635132e-05,0.037393626,0.0028294164,0.043160185,0.0038005866,0.026167983
A/RES/76/92,0.013297729,0.032410856,7.9919555e-05,8.6553206e-05,0.00010753282,0.7968225,0.00024495772,9.622456e-05,0.00010948775,0.005733296,0.0061315955,0.00034125714,0.1444523,8.57877e-05
A/RES/1234(XII),0.00038613263,0.0002421584,0.00023583484,0.4812697,0.13330947,0.00015540356,0.37448537,0.0074346187,0.00032305968,0.00023469608,0.00025263755,0.0009968651,0.0004209198,0.00025314812
A/RES/42/167,0.009206526,0.0002202053,0.00021445409,0.00023225778,0.00028851695,0.028872473,0.04757553,0.08565052,0.000293778,0.00021341942,0.00022973526,0.3384686,0.48830375,0.00023019832
A/RES/109(II),0.11224476,0.013704177,0.00016780486,0.00018173362,0.15504637,0.000110574714,0.544632,0.06340228,0.00022987515,0.00016699475,0.09538965,0.0007131131,0.00029934623,0.013711292
A/RES/56/144,0.6107195,0.0068848003,8.1819104e-05,8.861149e-05,0.010331329,0.0038682239,0.06296846,9.851494e-05,0.07884777,8.142417e-05,8.764881e-05,0.1064828,0.00014606184,0.11931304
A/RES/54/181,0.8838878,0.00040844956,0.00039778228,0.00043080535,0.00053521345,0.0002621188,0.001221678,0.00047895536,0.0005449102,0.00039586247,0.0004261236,0.10106036,0.0007096152,0.009240294
A/RES/37/55,0.25622585,0.14763951,0.00020527306,0.00022231387,0.0050195465,0.00013526485,0.05719002,0.00024715887,0.011084809,0.0002042823,0.00021989885,0.5210191,0.0003666054,0.00022034369
A/RES/54/94,0.050936442,0.017214885,9.6779564e-05,0.0086221,0.010021766,6.3772706e-05,0.0022649267,0.16140378,0.0001325832,0.10924541,0.2581721,0.24223997,0.13948157,0.0001038851
A/RES/61/182,0.0005511454,0.00034554568,0.000336523,0.03580091,0.00045275822,0.0002217517,0.0010198896,0.0004051916,0.00046098794,0.59614074,0.06869516,0.27427828,0.020929832,0.00036122734
A/RES/60/220,0.00046933073,0.00029401464,0.00028633574,0.00031010355,0.00038525742,0.00018868131,0.00087657565,0.5548583,0.013372823,0.010021909,0.00030673886,0.0686596,0.34966296,0.0003073575
A/RES/69/219,0.00015620659,0.040835418,9.537504e-05,0.00010329193,0.010119324,6.284726e-05,0.0038541027,0.019715356,0.0001306612,9.491503e-05,0.00010217055,0.15418231,0.7620783,0.008469757
A/RES/73/173,0.6426201,0.11469755,8.444564e-05,9.14551e-05,0.00011362275,5.564546e-05,0.00028246848,0.013615758,0.033080176,0.10908738,0.019160032,0.00035973266,0.0001508587,0.066600785
A/RES/60/38,0.06951201,0.00033616842,0.00032739033,0.0003545785,0.0004405004,0.00021573361,0.0010131557,0.4256969,0.35635784,0.0003258105,0.0298869,0.114597075,0.0005844776,0.0003514242
A/RES/74/290,0.0043296083,6.932995e-05,6.7519526e-05,0.7576573,9.090107e-05,4.4491968e-05,0.00021652628,8.129618e-05,0.04584249,0.10915047,7.233374e-05,0.0002981693,0.08200713,7.247921e-05
A/RES/68/118,9.649359e-05,6.04596e-05,5.888081e-05,0.0040903874,7.925452e-05,0.013791239,0.25692865,0.028796742,0.16409272,0.030069387,6.3075975e-05,0.046845146,0.16768076,0.2873468
A/RES/66/4,0.0011156148,0.00069942116,0.00068115833,0.23797558,0.21856585,0.00044884923,0.41488102,0.0008201412,0.08925966,0.0006778707,0.030107949,0.0028202015,0.0012155109,0.00073116395
A/RES/59/1B,0.002260954,0.0014175996,0.0013805532,0.63500047,0.0018577192,0.0009097156,0.3409361,0.0016622794,0.0018915418,0.0013739321,0.0014789164,0.0058683883,0.0024798973,0.0014819393
A/RES/47/191,0.0035371464,4.948245e-05,4.819005e-05,0.017851157,6.4837914e-05,3.175485e-05,0.10069451,5.802204e-05,0.09804851,4.7957543e-05,5.1623574e-05,0.546316,0.21033604,0.022864744
A/RES/41/154,0.62633294,0.00010293355,0.006386084,0.00010856737,0.00013487038,0.015364076,0.0003093379,0.000120698714,0.026323818,0.015991755,0.029344635,0.2496605,0.00017888425,0.029640857
A/RES/1865(XVII),0.0004006251,0.00025121414,0.00024465242,0.59885806,0.09119757,0.00016121367,0.24706537,0.031799275,0.00033522258,0.00024347092,0.00026208305,0.022516675,0.006402003,0.00026261434
A/RES/51/15A,0.00033599476,0.0002106616,0.00020516089,0.9814361,0.00027603,0.00013519084,0.014994972,0.00024702225,0.0002810237,0.00020417049,0.00021978047,0.00086725835,0.0003663895,0.0002202226
